id_doc,chunk
7.5 RO FOULING substance (anaysis solution).pdf,"additional sulfate is added to the feed stream , potentially causing sulfate scaling sections 2.4.3 , 2.4.4 , 2.4.5. caco3 tends to dissolve in the concentrate stream rather than precipitate . this tendency can be expressed by the langelier saturation index lsi for brackish waters and the stiff davis stability index sdsi for seawaters . at the ph of saturation phs , the water is in equilibrium with caco3 . the definitions of lsi and sdsi are lsi ph phs tds 10,000 mgl sdsi ph phs tds 10,000 mgl where the methods predicting phs are different for lsi and sdsi see section 2.4.2. to control calcium carbonate scaling by acid addition alone , the lsi or sdsi in the concentrate stream must be negative . acid addition is useful to control carbonate scale only . page 27 of 182 trademark of the dow chemical company form no . 609000710705 216 of 865 2.3.3 scale inhibitor addition scale inhibitors antiscalants can be used to control carbonate scaling , sulfate scaling , and calcium fluoride scaling . there are generally three different types of scale inhibitors sodium hexametaphosphate shmp , organophosphonates and polyacrylates . shmp is inexpensive but unstable compared to polymeric"
7.5 RO FOULING substance (anaysis solution).pdf,"organic scale inhibitors . minor amounts adsorb to the surface of microcrystals , preventing further growth and precipitation of the crystals . foodgrade quality shmp should be used . care must be taken to avoid hydrolysis of shmp in the dosing feed tank . hydrolysis will not only decrease the scale inhibition efficiency , but also create a calcium phosphate scaling risk . therefore , shmp is generally not recommended . organophosphonates are more effective and stable than shmp . they act as antifoulants for insoluble aluminum and iron , keeping them in solution . polyacrylates high molecular weight are generally known for reducing silica scale formation via a dispersion mechanism . polymeric organic scale inhibitors are also more effective than shmp . precipitation reactions may occur , however , with negatively charged scale inhibitors and cationic polyelectrolytes or multivalent cations e.g. , aluminum or iron . the resulting gumlike products are very difficult to remove from the membrane elements . for dosage rates on all antiscalants , please contact the antiscalant manufacturers . overdosing should be avoided . make certain that no significant amounts of cationic polymers are present when adding an anionic scale inhibitor . in ro plants"
7.5 RO FOULING substance (anaysis solution).pdf,"operating on seawater with tds in the range of 35,000 mgl , scaling is not as much of a problem as in brackish water plants because the recovery of seawater plants is limited by the osmotic pressure of the concentrate stream to 30 45. for safety reasons , however , a scale inhibitor is recommended when operating above a recovery of 35 . 2.3.4 softening with a strong acid cation exchange resin in the ion exchange softening process , the scaleforming cations , such as ca2 , ba2 and sr2 , are removed and replaced by sodium cations . the resin is regenerated with nacl at hardness breakthrough . the ph of the feed water is not changed by this treatment and , therefore , no degasifier is needed . only a little co2 from the raw water is present that can pass into the permeate , creating a conductivity increase there . the permeate conductivity can be lowered by adding some naoh to the softened feed water up to ph 8.2 to convert residual carbon dioxide into bicarbonate , which is then rejected by the membrane . the rejection performance of the ft30 membrane is optimal at the neutral"
7.5 RO FOULING substance (anaysis solution).pdf,"ph range . with dowex ion exchange resins , the removal efficiency for ca2 , ba2 , and sr2 is greater than 99.5 , which usually eliminates any risk of carbonate or sulfate scaling . softening with a strong acid cation exchange resin is effective and safe , provided the regeneration is done properly . it is used mainly in small or mediumsize brackish water plants , but not in seawater plants . a drawback of this process is its relatively high sodium chloride consumption , potentially causing environmental or economic problems . with dowex monosphere ion exchange resins and a countercurrent regeneration technique such as dows upcore , it is possible to minimize the sodium chloride consumption to 110 of the stoichiometric value . 2.3.5 dealkalization with a weak acid cation exchange resin dealkalization with a weak acid cation exchange resin is used mainly in large brackish water plants for partial softening to minimize the consumption of regeneration chemicals . in this process , only ca2 , ba2 , and sr2 associated with bicarbonate alkalinity temporary hardness are removed and replaced by h , thus lowering the effluent ph to 45. because the acidic groups of the resin are"
7.5 RO FOULING substance (anaysis solution).pdf,"carboxylic groups , the ion exchange process stops when the ph reaches 4.2 , where the carboxylic groups are no longer dissociated . it is , therefore , page 28 of 182 trademark of the dow chemical company form no . 609000710705 217 of 865 only a partial softening . only those scaleforming cations are removed that are bound to bicarbonate . this process , therefore , is ideal for waters with high bicarbonate content . the bicarbonate is converted into carbon dioxide hco3 h h2o co2 in most cases , carbon dioxide is not desired in the permeate . it can be removed by degassing either in the permeate or in the feed stream . degassing the permeate is favored where a potential for biofouling is suspected e.g. , surface waters , high toc , high bacteria counts . a high co2 concentration on the membranes helps to keep bacteria growth low . degassing the feed is preferred when optimum salt rejection is the priority . removing co2 also leads to an increase in ph see equation above , and at ph 6 the rejection is better than at ph 5. the advantages of dealkalizing with a weak acid"
7.5 RO FOULING substance (anaysis solution).pdf,"cation exchange resin are for regeneration , acid of not more than 105 of the stoichiometric value is needed . this minimizes operating costs and environmental impact . the tds value of the water is reduced by the removal of bicarbonate salts by either the amount of hardness or alkalinity , whichever is lower . accordingly , the permeate tds value is also lower . the disadvantages are residual hardness . if complete softening is required , a sodium exchange process with a strong acid cation exchange resin can be added , even in one vessel layered bed . the overall consumption of regenerant chemicals via thoroughfare regeneration is still lower than softening with a strong acid cation exchange resin alone . due to the higher investment costs , however , this combination will only be attractive for plants with high capacity . another possibility to overcome this drawback of incomplete softening is to dose an antiscalant into the dealkalized water . variable ph of the treated water . the ph of the dealkalized water ranges from 3.56.5 depending on the degree of exhaustion of the resin . this cyclic ph variation makes it difficult to control the salt rejection"
7.5 RO FOULING substance (anaysis solution).pdf,"of the plant . at ph 4.2 , the passage of mineral acid may increase the permeate tds content . it is therefore recommended that more than one filter be used in parallel and regenerated at different times to minimize the variability in ph . other possibilities to avoid extremely low ph values are co2 removal or ph adjustment by naoh afterwards . 2.3.6 lime softening lime softening can be used to remove carbonate hardness by adding hydrated lime cahco32 caoh2 2 caco3 2 h2o mghco32 2 caoh2 mgoh2 2 caco3 2h2o the noncarbonate calcium hardness can be further reduced by adding sodium carbonate soda ash cacl2 na2co3 2 nacl caco3 the limesoda ash process can also be used to reduce the silica concentration . when sodium aluminate and ferric chloride are added , the precipitate will include calcium carbonate and a complex with silicic acid , aluminum oxide , and iron . with the hot lime silicic acid removal process at 6070c , silica can be reduced to 1 mgl by adding a mixture of lime and porous magnesium oxide . with lime softening , barium , strontium , and organic substances are also reduced significantly . the process"
7.5 RO FOULING substance (anaysis solution).pdf,"requires a reactor with a high concentration of precipitated particles serving as crystallization nuclei . this is usually achieved by upflow solids contact clarifiers . the effluent from this process requires media filtration and ph adjustment prior to the ro elements . iron coagulants with or without polymeric flocculants anionic and nonionic may be used to improve the solidliquid separation . page 29 of 182 trademark of the dow chemical company form no . 609000710705 218 of 865 lime softening should be considered for brackish water plants larger than 200 m3h 880 gpm . more details are described in water treatment textbooks . 3 , 4 , 5 2.3.7 preventive cleaning in some applications , scaling is controlled by preventive membrane cleaning . this allows the system to run without softening or dosage of chemicals . typically , these systems operate at low recovery in the range of 25 , and the membrane elements are replaced after 12 years . accordingly , these systems are mainly small singleelement plants for potable water from tap water or seawater . the simplest way of cleaning is a forward flush at low pressure by opening the concentrate valve . short cleaning intervals are"
7.5 RO FOULING substance (anaysis solution).pdf,"more effective than long cleaning times e.g. , 30 seconds every 30 minutes . cleaning can also be carried out with cleaning chemicals as described in section 6. in batch processes like waste water treatment , cleaning the membranes after every batch is common practice . the cleaning procedure , cleaning chemicals , and frequency of cleaning need to be determined and optimized case by case . special care has to be taken not to allow a scaling layer to develop over time . 2.3.8 adjustment of operating variables when other scalecontrol methods do not work , the operating variables of the plant have to be adjusted in such a way that scaling will not occur . the precipitation of dissolved salts can be avoided by keeping their concentration below the solubility limit . this is accomplished by reducing the system recovery until the concentrate concentration is low enough . solubility depends also on temperature and ph . in the case of silica , increasing temperature and ph increases its solubility see section 2.4.7. silica is usually the only reason for considering adjustment of operating variables for scale control because these adjustments have economic drawbacks energy consumption or other scaling"
7.5 RO FOULING substance (anaysis solution).pdf,"risks caco3 at high ph . for small systems , a low recovery combined with a preventive cleaning program might be a convenient way to control scaling . 2.4 scaling calculations 2.4.1 general scaling calculations must be carried out in order to determine whether a sparingly soluble salt presents a potential scaling problem in an ro system . the calculation procedures described in this section are adapted from the corresponding astm standards , cited in the references 6 , 7 , 8. to determine the scaling potential , you need to compare the ion product ipc of the considered salt in the concentrate stream with the solubility product ksp of that salt under conditions in the concentrate stream . generally , scalecontrol measures are not needed if ipc ksp . page 30 of 182 trademark of the dow chemical company form no . 609000710705 219 of 865 the ion product ip of a salt ambn is defined as ip ambn where a , b molal concentrations of the corresponding ions eq . 1 for the concentration ranges present in ro applications , molal concentrations molkg can be considered equivalent with molar concentrations moll . the concentration of ion species in"
7.5 RO FOULING substance (anaysis solution).pdf,"the concentrate stream is usually not known , but can easily be estimated from the concentration in the feed stream by multiplication with the concentration factor cf . the concentration factor is derived from the recovery y expressed as a decimal cf 1 y 1 where the rejection is assumed to be 100. eq . 2 the solubility product ksp is generally also expressed in molal concentrations and is dependent on ionic strength and temperature as shown in the figures of this section . the temperature in the concentrate stream is about the same as in the feed stream . the ionic strength of the feed water is i f 1 2 2 zm i i where mi molal concentration of ion i molkg zi ionic charge of ion i where the water analysis is not given in molal or molar concentrations , the conversion is as follows m i c i 1,000 mw i where ci concentration of ion i in mgl mwi molecular weight of ion i eq . 3 eq . 4 having calculated the ionic strength if of the feed stream with eq . 3 , the ionic strength ic of the concentrate stream is obtained"
7.5 RO FOULING substance (anaysis solution).pdf,"from 1 y i i c f eq . 5 1 with the ionic strength of the concentrate stream , the solubility product ksp of scaling salt can be obtained see sections 2.4.2 , 2.4.3 , 2.4.4 , 2.4.5 , 2.4.6 , 2.4.7. calculation example of the ionic strength of the concentrate ic feed water analysis ion ca2 mg2 na hco3 2 so4 cl mgl 200 61 388 244 480 635 moll 5.0 2.51 16.9 4.0 5.0 17.9 molkg 103 103 103 103 103 103 page 31 of 182 trademark of the dow chemical company form no . 609000710705 220 of 865 the ionic strength if of the feed water is fl 1 2 fi 1 2 .0fi 2 ca 4 51.20.54 0444 2 mg 2 so 4 0.5 10 3 na 0.49.16 hco 3 cl 9.17 10 3 with a recovery of , for example , 75 y 0.75 , the ionic strength of the concentrate becomes ci .0 0444 1 75.01 178.0ci 2.4.2 calcium carbonate scale prevention 2.4.2.1 brackish water for brackish waters with tds 10,000 mgl in the concentrate stream , the langelier saturation index lsi is used to express the scaling potential for calcium carbonate 6."
7.5 RO FOULING substance (anaysis solution).pdf,"the following data are needed to calculate the lsi of the concentrate stream lsic caf calcium concentration in feed as caco3 , mgl tdsf concentration of total dissolved solids in the feed , mgl alkf alkalinity in feed as caco3 , mgl phf t y ph of the feed solution temperature of the feed solution recovery of the reverse osmosis system , expressed as a decimal calculations 1. calculate the calcium concentration in the concentrate stream , cac , as caco3 in mgl ca c ca f 1 y 1 2. calculate the total dissolved solids in the concentrate stream , tdsc in mgl tds c tds f 1 y 1 3. calculate the alkalinity in the concentrate stream , alkc , as caco3 in mgl alk c alk f 1 y 1 eq . 6 eq . 7 eq . 8 4. calculate the free carbon dioxide content c in the concentrate stream by assuming that the co2 concentration in the concentrate is equal to the co2 concentration in the feed cc cf . the concentration of free carbon dioxide in the feed solution is obtained from figure 2.2 as a function of the alkalinity and the ph of"
7.5 RO FOULING substance (anaysis solution).pdf,"the feed solution . 5. calculate the ph of the concentrate stream phc using the ratio of alkalinity alkc to free co2 in the concentrate , figure 2.2 . 6. from figure 2.3 obtain pca as a function of cac , palk as a function of alkc , c as a function of tdsc and temperature temperature of the concentrate is assumed equal to temperature of the feed solution . 7. calculate ph at which the concentrate stream is saturated with caco3 phs as follows ph s pca palk c 8. calculate the langelier saturation index of the concentrate lsic as follows lsi c ph c ph s eq . 9 eq . 10 page 32 of 182 trademark of the dow chemical company form no . 609000710705 221 of 865 adjustments of lsic in most natural waters , lsic would be positive without pretreatment . to control caco3 scaling , lsic has to be adjusted to a negative value , except if adding a scale inhibitor section 2.3.3 or preventive cleaning section 2.3.7 is applied . the conditions for caco3 scale control are lsic 0 lsic 1 lsic 1 when no antiscalant is added when 20 mgl sodium hexametaphosphate"
7.5 RO FOULING substance (anaysis solution).pdf,"is in the concentrate stream possible with polymeric organic scale inhibitors . for the maximum lsic and required dosages , please refer to the scale inhibitor manufacturers literature . if lsic is not within the above conditions , adjustments can be made by one of the following means . a new lsic can then be calculated the recovery , y , can be lowered and lsic can be calculated as above by substituting a new value for the recovery . decreasing the calcium concentration in the feed solution by means of sodium cycle ion exchange . this will increase the pca and will therefore decrease the lsic . softening will not change the alkalinity or ph of the feed solution and the slight change in tdsf may be considered negligible . after softening , the lsic can be calculated as above using the lower value for calcium concentration . adding acid hcl , co2 , h2so4 , etc . to the feed solution changes the alkf , cf , and ph . the slight change in tdsf can usually be neglected . acid addition will decrease the lsic however , since many variables change with acidification , trial and error"
7.5 RO FOULING substance (anaysis solution).pdf,"computations are required to determine the amount of acid needed to obtain the desired lsic . the number of trial and error computations required to determine the amount of acid needed can be reduced greatly by using the phs calculated in eq . 9. since phc will usually be 0.5 units higher than the phf , the first computation can be made with an acidified feed solution that is 0.5 units lower than the phs . for an assumed ph phacid , obtained from addition of acid to the feed solution , obtain the ratio of alkacidcacid from figure 2.3. from this ratio , alkf , and cf , calculate the mgl of acid used x. for example , for h2so4 addition 100 alk c acid acid alk c f f 02.1 x 90.0 x eq . 11 calculate the total alkalinity of the acidified feed water alkacid and the co2 content in the acidified feed water cacid as follows alk acid eq . 12 02.1 alk x f cacid c f 90.0 x using alkacid and cacid for the new ph , calculate the lsic . if hcl 100 is used for acidification , eq . 11 is 37.1"
7.5 RO FOULING substance (anaysis solution).pdf,"alk y f alk c acid acid c f 21.1 y eq . 13 eq . 14 where y hcl 100 , mgl reverse osmosis and nanofiltration in operation once a reverse osmosis or nanofiltration system is operating , the langelier saturation index can be directly calculated from the analysis of alkc , cac , tdsc , and phc of the concentrate stream and compared with the projected lsic . use of computers the lsic and the acid dosage required to adjust a certain lsic can be determined using a personal computer and the filmtec reverse osmosis system analysis rosa computer program . the rosa computer program can be downloaded here , www.dow.comliquidsepsdesignrosa.htm . page 33 of 182 trademark of the dow chemical company form no . 609000710705 222 of 865 figure 2.2 ph versus methyl orange alkalinityfree co2 page 34 of 182 trademark of the dow chemical company form no . 609000710705 223 of 865 figure 2.3 langelier saturation index page 35 of 182 trademark of the dow chemical company form no . 609000710705 224 of 865 2.4.2.2 seawater for highsalinity brackish waters with tds 10,000 mgl in the concentrate stream and for seawaters , the stiff davis stability"
7.5 RO FOULING substance (anaysis solution).pdf,"index sdsi is used to express the scaling potential for calcium carbonate . the data needed to calculate the sdsi of the concentrate stream are the same as the data needed to calculate the lsi section 2.4.2. additionally , the molal concentrations of all ions in the feed solution are required , at least of all major ions i.e. , ca2 , mg2 , na , k , hco3 so4 2 , and cl . , calculations 7 1. calculate the calcium concentration in the concentrate stream , cac , as caco3 in mgl ca c ca f 1 y 1 2. calculate the alkalinity in the concentrate stream , alkc , as caco3 in mgl alk c alk f 1 y 1 3. calculate the ionic strength of the feed stream if i f 1 2 2 zm i i 4. calculate the ionic strength of the concentrate stream ic i c i f 1 y 1 eq . 6 eq . 8 eq . 3 eq . 5 5. from figure 2.4 , obtain pca as a function of cac and palk as a function of alkc . from figure 2.5 , obtain k as a function of"
7.5 RO FOULING substance (anaysis solution).pdf,"concentrate ionic strength and feed temperature . 6. calculate the ph at which the concentrate stream is saturated with caco3 phs as follows ph s pca palk k 7. calculate the free carbon dioxide content c in the concentrate stream by assuming that the co2 concentration in the concentrate is equal to the co2 concentration in the feed cc cf . the concentration of free carbon dioxide in the feed solution is obtained from figure 2.2 as a function of the alkalinity and the ph of the feed solution . 8. calculate the ph of the concentrate stream phc using the ratio of alkalinity from eq . 8 to free co2 in the concentrate from step 7 , figure 2.2 . 9. calculate the stiff and davis stability index of the concentrate sdsic as follows s dsi c ph c ph s adjustments of sdsic the sdsic in the concentrate stream will be positive with most natural highsalinity waters . in order to prevent caco3 precipitation and scaling , the sdsic has to be adjusted to a negative value by acid dosing . the sdsic can remain positive , however , if caco3 precipitation is prevented by the dosage of"
7.5 RO FOULING substance (anaysis solution).pdf,"a scale inhibitor see section 2.3.3. for the maximum allowed sdsic and the required dosage , please refer to the scale inhibitor manufacturers literature . if the sdsic is unacceptable based on the above recommendation , adjustments can be made by one of the following means . a new sdsic can then be calculated . the recovery can be lowered and the sdsic can be calculated as above by substituting a new value for the recovery . decreasing the calcium and alkalinity concentrations in the feed solution by means of lime or limesoda ash softening will increase the pca and palk and will therefore decrease the phs . addition of acid hcl , co2 , h2so4 , etc . to the feed solution either with or without lime or limesoda ash softening changes the alkf , cf , and ph . the slight change in if can usually be ignored . acid addition will decrease the sdsic however , since many variables change with acidification , trial and error computations are required to determine the amount of acid needed to obtain the desired sdsic . page 36 of 182 trademark of the dow chemical company form no . 609000710705 225"
7.5 RO FOULING substance (anaysis solution).pdf,"of 865 these computations have been described already in the previous section section 2.4.2.1 , brackish water . for seawater systems , a dosage of typically 10 mgl sulfuric acid is required to achieve a phf of about 7 and a negative sdsi in the concentrate . ronf in operation once an ro or nf system is operating , the sdsic can be directly calculated from the analysis of alkc , cac , phc , and ic of the concentrate stream and compared with the projected sdsic . page 37 of 182 trademark of the dow chemical company form no . 609000710705 226 of 865 figure 2.4 conversion of calcium and alkalinity to pca and palk page 38 of 182 trademark of the dow chemical company form no . 609000710705 227 of 865 figure 2.5 k versus ionic strength and temperature page 39 of 182 trademark of the dow chemical company form no . 609000710705 228 of 865 2.4.3 calcium sulfate scale prevention for the determination of the calcium sulfate scaling potential , a complete feed water analysis is required . calculation 8 1. calculate the ionic strength of the concentrate stream ic following the procedure described in section 2.4.1"
